OG	SAMP	assembly	size
OG181	OG181.ilmn.230814	OG181.ilmn.230814.v129mh.fna	791.624 MiB
OG182	OG182.ilmn.230814	OG182.ilmn.230814.v129mh.fna	772.810 MiB
OG183	OG183.ilmn.230814	OG183.ilmn.230814.v129mh.fna	703.670 MiB
OG184	OG184.ilmn.230814	OG184.ilmn.230814.v129mh.fna	928.029 MiB
OG185	OG185.ilmn.230814	OG185.ilmn.230814.v129mh.fna	880.950 MiB
OG186	OG186.ilmn.230814	OG186.ilmn.230814.v129mh.fna	844.858 MiB
OG187	OG187.ilmn.230814	OG187.ilmn.230814.v129mh.fna	924.487 MiB
OG188	OG188.ilmn.230814	OG188.ilmn.230814.v129mh.fna	820.091 MiB
OG189	OG189.ilmn.240716	OG189.ilmn.240716.v129mh.fna	790.042 MiB
OG190	OG190.ilmn.230814	OG190.ilmn.230814.v129mh.fna	719.357 MiB
OG191	OG191.ilmn.230814	OG191.ilmn.230814.v129mh.fna	760.836 MiB
OG192	OG192.ilmn.240716	OG192.ilmn.240716.v129mh.fna	844.213 MiB
OG193	OG193.ilmn.240313	OG193.ilmn.240313.v129mh.fna	766.848 MiB
OG194	OG194.ilmn.240716	OG194.ilmn.240716.v129mh.fna	835.737 MiB
OG195	OG195.ilmn.230620	OG195.ilmn.230620.v129mh.fna	0 B
OG196	OG196.ilmn.230620	OG196.ilmn.230620.v129mh.fna	0 B
OG197	OG197.ilmn.230620	OG197.ilmn.230620.v129mh.fna	0 B
OG198	OG198.ilmn.230620	OG198.ilmn.230620.v129mh.fna	0 B
OG199	OG199.ilmn.230620	OG199.ilmn.230620.v129mh.fna	0 B
OG200	OG200.ilmn.230620	OG200.ilmn.230620.v129mh.fna	0 B
OG201	OG201.ilmn.230620	OG201.ilmn.230620.v129mh.fna	0 B
OG201	OG201.ilmn.241003	OG201.ilmn.241003.v129mh.fna	0 B
OG202	OG202.ilmn.230620	OG202.ilmn.230620.v129mh.fna	0 B
OG203	OG203.ilmn.230620	OG203.ilmn.230620.v129mh.fna	0 B
OG204	OG204.ilmn.230620	OG204.ilmn.230620.v129mh.fna	0 B
OG205	OG205.ilmn.230620	OG205.ilmn.230620.v129mh.fna	0 B
OG206	OG206.ilmn.230607	OG206.ilmn.230607.v129mh.fna	0 B
OG207	OG207.ilmn.230607	OG207.ilmn.230607.v129mh.fna	0 B
OG208	OG208.ilmn.230607	OG208.ilmn.230607.v129mh.fna	0 B
OG209	OG209.ilmn.230607	OG209.ilmn.230607.v129mh.fna	0 B
OG210	OG210.ilmn.230607	OG210.ilmn.230607.v129mh.fna	0 B
OG211	OG211.ilmn.230607	OG211.ilmn.230607.v129mh.fna	0 B
OG212	OG212.ilmn.230607	OG212.ilmn.230607.v129mh.fna	0 B
OG213	OG213.ilmn.230607	OG213.ilmn.230607.v129mh.fna	0 B
OG214	OG214.ilmn.230607	OG214.ilmn.230607.v129mh.fna	0 B
OG215	OG215.ilmn.230607	OG215.ilmn.230607.v129mh.fna	0 B
OG216	OG216.ilmn.230607	OG216.ilmn.230607.v129mh.fna	0 B
OG217	OG217.ilmn.230607	OG217.ilmn.230607.v129mh.fna	0 B
OG218	OG218.ilmn.230607	OG218.ilmn.230607.v129mh.fna	0 B
OG219	OG219.ilmn.230607	OG219.ilmn.230607.v129mh.fna	0 B
OG220	OG220.ilmn.230607	OG220.ilmn.230607.v129mh.fna	0 B
OG221	OG221.ilmn.230607	OG221.ilmn.230607.v129mh.fna	0 B
OG222	OG222.ilmn.230607	OG222.ilmn.230607.v129mh.fna	0 B
OG223	OG223.ilmn.230607	OG223.ilmn.230607.v129mh.fna	0 B
OG224	OG224.ilmn.230607	OG224.ilmn.230607.v129mh.fna	0 B
OG225	OG225.ilmn.230607	OG225.ilmn.230607.v129mh.fna	0 B
OG226	OG226.ilmn.230607	OG226.ilmn.230607.v129mh.fna	0 B
OG227	OG227.ilmn.240716	OG227.ilmn.240716.v129mh.fna	2.723 GiB
OG228	OG228.ilmn.230324	OG228.ilmn.230324.v129mh.fna	823.455 MiB
OG229	OG229.ilmn.230324	OG229.ilmn.230324.v129mh.fna	993.074 MiB
OG230	OG230.ilmn.230324	OG230.ilmn.230324.v129mh.fna	0 B
